entidad_a,armatitt,armatis1,armati1,armati2,armati4,armati5,armatis2,armati6,armati7,armatis3,armati9,armati10,armati11,armati12,armati14,armatis4,armati15,armati16,armati18
1,1463,4,0,4,0,0,0,0,0,1459,0,1459,0,0,0,0,0,0,0
2,8878,58,19,39,0,0,1,1,0,8815,0,8815,0,0,0,1,1,0,3
3,194,9,1,8,0,0,0,0,0,185,0,185,0,0,0,0,0,0,0
4,255,8,3,5,0,0,0,0,0,247,0,247,0,0,0,0,0,0,0
5,937,25,19,6,0,0,0,0,0,910,0,910,0,0,0,0,0,0,2
6,1257,17,5,12,0,0,2,2,0,1237,0,1237,0,0,0,0,0,0,1
7,144,16,3,13,0,0,0,0,0,127,0,127,0,0,0,0,0,0,1
8,5705,50,28,22,0,0,4,4,0,5647,0,5647,0,0,0,0,0,0,4
9,1736,46,2,44,0,0,0,0,0,1684,0,1684,0,0,0,1,1,0,5
10,5727,25,1,24,0,0,0,0,0,5701,0,5701,0,0,0,0,0,0,1
11,3314,63,17,46,1,0,7,7,0,3225,0,3225,0,0,0,7,7,0,11
12,288,16,0,16,0,0,0,0,0,272,0,272,0,0,0,0,0,0,0
13,193,17,1,16,0,0,0,0,0,176,0,176,0,0,0,0,0,0,0
14,713,33,5,28,0,0,0,0,0,672,0,672,0,0,0,0,0,0,8
15,3466,106,20,86,0,0,2,2,0,1577,0,1577,0,0,0,3,3,0,1778
16,1817,23,4,19,0,0,3,3,0,1791,0,1791,0,0,0,0,0,0,0
17,22,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,2
18,5627,58,29,29,3,0,3,3,0,5558,0,5558,0,0,0,3,3,0,2
19,2497,30,15,15,0,0,0,0,0,2467,0,2467,0,0,0,0,0,0,0
20,2202,34,2,32,0,0,1,1,0,2160,0,2160,0,0,0,3,3,0,4
21,2330,102,20,82,0,0,0,0,0,2210,0,2209,0,1,0,4,4,0,14
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1075,13,3,10,0,0,0,0,0,1061,0,1061,0,0,0,0,0,0,1
24,1120,36,4,32,0,0,0,0,0,1079,0,1079,0,0,0,2,2,0,3
25,13806,15,6,9,0,0,0,0,0,13790,0,13790,0,0,0,0,0,0,1
26,93816,136,71,65,0,0,5,5,0,90671,0,90670,0,1,0,1,1,0,3003
27,341,16,2,14,0,0,0,0,0,309,0,309,0,0,0,0,0,0,16
28,4684,29,25,4,0,0,0,0,0,4649,0,4649,0,0,0,0,0,0,6
29,329,17,4,13,0,0,0,0,0,311,0,309,0,2,0,1,1,0,0
30,109,7,1,6,0,0,0,0,0,102,0,102,0,0,0,0,0,0,0
31,268,1,1,0,0,0,0,0,0,267,0,267,0,0,0,0,0,0,0
32,120,6,0,6,0,0,0,0,0,113,0,113,0,0,0,0,0,0,1
99,,,,,,,,,,,,,,,,,,,
