entidad_a,dinfau1,dinfau2,dinfau3,dinfau4,dinfau5,dinfau6,dinfau7
1,308,0,0,0,0,293,8
2,5066,40005,0,0,0,0,6
3,11750,30,0,0,0,0,0
4,3011520,0,0,0,0,121,1
5,2049689,380705,0,0,5,87,0
6,31450,0,0,0,0,0,4
7,277530,100003,0,0,11,12,33
8,1000,17880,0,0,0,0,18
9,3151152,4868870,407482,108000,3509209,0,626
10,759719,15817,0,0,0,0,0
11,1004131,1,0,0,0,991,9
12,0,0,0,0,0,113,0
13,906259,0,0,0,0,304,0
14,4654850,84524,0,0,0,83,668
15,42982478,14880,0,0,0,96,746
16,5790,453,0,0,0,0,8
17,63696,0,0,0,0,3,0
18,8928,0,0,0,0,2,8
19,141140,4370370,90000,0,70000,0,1
20,521210,0,0,0,0,14,50
21,5563606,164680,400,0,500,0,375
22,108626,0,0,0,0,0,1
23,704452,471122,5705,10000,157043,0,108
24,104452,0,0,0,0,262,35
25,0,24776,0,0,0,0,3
26,1274636,73500,0,0,0,0,1
27,1091500,0,0,0,0,4,1
28,47595,80,0,0,0,0,1
29,900,0,0,0,0,0,0
30,843796,1,0,0,2,80,8049
31,1009934,88,350,0,100,2,33
32,1092000,0,0,0,0,1,21
99,,,,,,,
