mercpira_a,descrip
1,Pares de calzado (excepto calzado deportivo)
2,Pares de calzado deportivo
3,Ropa
4,Juguetes
5,Libros
6,Consolas de videojuegos
7,Fonogramas (discos de música)
8,Videogramas (películas)
9,Software (en dispositivos de almacenamiento físicos)
10,Bebidas alcohólicas
11,Cajetillas de cigarro
12,Cigarros
13,Equipos de cómputo
14,Teléfonos celulares
15,Accesorios para teléfonos celulares (sin incluir audífonos)
16,Audífonos para teléfonos celulares
17,Mochilas
18,Bolsas de mano
19,Relojes
20,Lentes de sol
21,Perfumes
22,Medicinas
23,Cubrebocas
24,Equipo médico (sin incluir cubrebocas)
25,Otra mercancía apócrifa o pirata
