autornot_h,descrip
1,Fiscalía General de la República
2,Secretaría de la Defensa Nacional
3,Secretaría de Marina
4,Secretaría de Seguridad y Protección Ciudadana (sin incluir a la Guardia Nacional)
5,Autoridades aduaneras
6,Fiscalías generales o procuradurías generales de Justicia de las entidades federativas
7,Instituciones encargadas de la función de seguridad pública de las entidades federativas
8,Instituciones encargadas de la función de seguridad pública de los municipios o demarcaciones territoriales
9,Dependencias coordinadas
10,Otra autoridad
11,Autoridad no identificada
12,No se notificó su aseguramiento
13,No identificado
