entidad_e,umetpr1,umetpr2,umetpr3,umetpr4,umetpr5,umetpr6
1,0,0,NA,NA,0,NA
2,0,0,NA,NA,0,NA
3,0,0,NA,NA,0,NA
4,0,0,NA,NA,0,NA
5,0,0,NA,NA,0,NA
6,0,0,NA,NA,0,NA
7,0,0,NA,NA,0,NA
8,0,1,NA,NA,0,NA
9,0,0,NA,NA,0,NA
10,0,0,NA,NA,0,NA
11,0,0,NA,NA,0,NA
12,0,0,NA,NA,0,NA
13,0,0,NA,NA,0,NA
14,7,0,NA,NA,599,NA
15,0,0,NA,NA,0,NA
16,0,0,NA,NA,0,NA
17,0,0,NA,NA,0,NA
18,0,0,NA,NA,0,NA
19,0,0,NA,NA,0,NA
20,0,0,NA,NA,0,NA
21,0,0,NA,NA,0,NA
22,0,0,NA,NA,0,NA
23,0,0,NA,NA,0,NA
24,0,0,NA,NA,0,NA
25,0,0,NA,NA,0,NA
26,0,0,NA,NA,0,NA
27,0,0,NA,NA,0,NA
28,0,0,NA,NA,0,NA
29,0,0,NA,NA,0,NA
30,0,0,NA,NA,0,NA
31,0,0,NA,NA,0,NA
32,0,0,NA,NA,0,NA
33,0,0,NA,NA,0,NA
99,,,,,,
