mercpira_e,descrip
1,Pares de calzado (excepto calzado deportivo)
2,Pares de calzado deportivo
3,Ropa
4,Juguetes
5,Libros
6,Consolas de videojuegos
7,Fonogramas (discos de música)
8,Videogramas (películas)
9,Software (en dispositivos de almacenamiento físicos)
10,Bebidas alcohólicas
11,Cajetillas de cigarro
12,Cigarros (sin incluir cigarros electrónicos)
13,Cigarros electrónicos
14,Equipos de cómputo
15,Teléfonos celulares
16,Accesorios para teléfonos celulares (sin incluir audífonos)
17,Audífonos para teléfonos celulares
18,Identificaciones oficiales o documentos
19,Mochilas
20,Bolsas de mano
21,Dinero en efectivo (incluye billetes y monedas)
22,Relojes
23,Lentes de sol
24,Perfumes
25,Medicinas
26,Vacunas
27,Cubrebocas
28,Equipo médico (sin incluir cubrebocas)
29,Placas de vehículos
30,Otro tipo de mercancía apócrifa o pirata
