ARCHIVO,CONTENIDO
m2bs4p1,"Armas aseguradas por la Guardia Nacional, según tipo, durante el año 2022."
m2bs4p2,"Armas aseguradas por la Guardia Nacional, según estatus de registro y tipo, durante el año 2022."
m2bs4p3,"Armas aseguradas por la Guardia Nacional, según autoridad a quien se notificó el aseguramiento y tipo, durante el año 2022."
m2bs4p4,"Armas aseguradas por la Guardia Nacional, según municipio o demarcación territorial donde se realizó el aseguramiento y tipo, durante el año 2022."
m2bs4p5,"Hidrocarburos asegurados por la Guardia Nacional, según tipo, durante el año 2022."
m2bs4p6,"Hidrocarburos asegurados por la Guardia Nacional, según municipio o demarcación territorial donde se realizó al aseguramiento y tipo, durante el año 2022."
m2bs4p7,"Tomas clandestinas de hidrocarburos aseguradas por la Guardia Nacional, durante el año 2022."
m2bs4p8,"Tomas clandestinas de hidrocarburos aseguradas por la Guardia Nacional, según municipio o demarcación territorial donde se realizó el aseguramiento, durante el año 2022."
m2bs4p9,"Volumen de narcóticos asegurado por la Guardia Nacional, según tipo de narcótico y unidad de medida, durante el año 2022."
m2bs4p10,"Volumen de narcóticos asegurado por la Guardia Nacional, según municipio o demarcación territorial donde se realizó el aseguramiento, tipo de narcótico y unidad de medida, durante el año 2022."
m2bs4p11,"Plantíos ilícitos destruidos y superficie erradicada (en hectáreas) por la Guardia Nacional, según tipo de cultivo, durante el año 2022."
m2bs4p12,"Plantíos ilícitos destruidos y superficie erradicada (en hectáreas) por la Guardia Nacional, según municipio o demarcación territorial donde se localizaron y tipo de cultivo, durante el año 2022."
m2bs4p13,"Vehículos asegurados por la Guardia Nacional, según tipo de reporte y tipo de vehículo, durante el año 2022."
m2bs4p14,"Vehículos asegurados por la Guardia Nacional, según municipio o demarcación territorial donde se realizó el aseguramiento, tipo de vehículo y tipo de reporte, durante el año 2022."
m2bs4p15,"Realización de aseguramientos de mercancía apócrifa o pirata por parte de la Guardia Nacional, durante el año 2022."
m2bs4p16,"Mercancía apócrifa o pirata asegurada por la Guardia Nacional, según tipo y unidad de medida, durante el año 2022."
m2bs4p17,"Mercancía apócrifa o pirata asegurada por la Guardia Nacional, según municipio o demarcación territorial donde se realizó el aseguramiento y tipo, durante el año 2022."
m2bs4p18,"Realización de aseguramientos de metales preciosos por parte de la Guardia Nacional, durante el año 2022."
m2bs4p19a,"Unidades específicas de metales preciosos aseguradas por la Guardia Nacional, durante el año 2022."
m2bs4p19b,"Metales preciosos (en kilogramos) asegurados por la Guardia Nacional, según tipo, durante el año 2022."
m2bs4p20a,"Unidades específicas de metales preciosos aseguradas por la Guardia Nacional, según entidad federativa donde se realizó el aseguramiento, durante el año 2022."
m2bs4p20b,"Metales preciosos (en kilogramos) asegurados por la Guardia Nacional, según entidad federativa donde se realizó el aseguramiento y tipo, durante el año 2022."
m2bs4p21,"Dinero asegurado por la Guardia Nacional, según tipo, durante el año 2022."
m2bs4p22,"Dinero asegurado por la Guardia Nacional, según entidad federativa donde se realizó el aseguramiento y tipo, durante el año 2022."
m2bs4p23,"Equipos de comunicación asegurados por la Guardia Nacional, según tipo, durante el año 2022."
m2bs4p24,"Equipos de comunicación asegurados por la Guardia Nacional, según entidad federativa donde se realizó el aseguramiento y tipo, durante el año 2022."
m2bs4p25,"Realización de aseguramientos de especies de flora por parte de la Guardia Nacional, durante el año 2022."
m2bs4p26,"Especies de flora aseguradas por la Guardia Nacional, según tipo y unidad de medida, durante el año 2022."
m2bs4p27,"Especies de flora aseguradas por la Guardia Nacional, según municipio o demarcación territorial donde se realizó el aseguramiento y tipo, durante el año 2022."
m2bs4p28,"Realización de aseguramientos de especies de fauna por parte de la Guardia Nacional, durante el año 2022."
m2bs4p29,"Especies de fauna aseguradas por la Guardia Nacional, según tipo y unidad de medida, durante el año 2022."
m2bs4p29cp3,"Especies de fauna aseguradas por la Guardia Nacional, según municipio o demarcación territorial donde se realizó el aseguramiento y tipo, durante el año 2022."
m2bs4p30,"Realización de aseguramientos de partes y/o productos de especies de fauna por parte de la Guardia Nacional, durante el año 2022."
m2bs4p31,"Partes y/o productos de especies de fauna asegurados por la Guardia Nacional, según tipo y unidad de medida, durante el año 2022."
m2bs4p32,"Partes y/o productos de especies de fauna asegurados por la Guardia Nacional, según municipio o demarcación territorial donde se realizó el aseguramiento y tipo, durante el año 2022."
