state_code,Entidad,Poblacion2020
1,Aguascalientes,"1,425,607"
2,Baja California,"3,769,020"
3,Baja California Sur,"798,447"
4,Campeche,"928,363"
5,Coahuila de Zaragoza,"3,146,771"
6,Colima,"731,391"
7,Chiapas,"5,543,828"
8,Chihuahua,"3,741,869"
9,Ciudad de México,"9,209,944"
10,Durango,"1,832,650"
11,Guanajuato,"6,166,934"
12,Guerrero,"3,540,685"
13,Hidalgo,"3,082,841"
14,Jalisco,"8,348,151"
15,México,"16,992,418"
16,Michoacán de Ocampo,"4,748,846"
17,Morelos,"1,971,520"
18,Nayarit,"1,235,456"
19,Nuevo León,"5,784,442"
20,Oaxaca,"4,132,148"
21,Puebla,"6,583,278"
22,Querétaro,"2,368,467"
23,Quintana Roo,"1,857,985"
24,San Luis Potosí,"2,822,255"
25,Sinaloa,"3,926,943"
26,Sonora,"3,026,943"
27,Tabasco,"2,402,598"
28,Tamaulipas,"3,527,735"
29,Tlaxcala,"1,342,977"
30,Veracruz de Ignacio de la Llave,"8,062,579"
31,Yucatán,"2,320,898"
32,Zacatecas,"1,622,138"
